user_id,age,tenure_months,archetype,monthly_logins,supercoins_earned,supercoins_redeemed,redemption_category,engagement_score_before,engagement_score_after
1,46,22,Tech Enthusiast,12,428.2,267.1,Food Delivery,12.95,13.81
2,32,47,Deal Hunter,19,320.8,191.9,Fitness,14.63,18.37
3,25,17,Tech Enthusiast,20,388.5,266.6,Streaming,16.55,18.78
4,38,29,Wellness Focused,13,320.6,134.2,Fitness,11.05,12.58
5,36,46,Deal Hunter,18,318.5,182.2,Discount Vouchers,14.01,17.16
6,40,14,Tech Enthusiast,15,423.9,208.3,Streaming,13.82,15.46
7,28,20,Convenience Seeker,25,268.0,127.6,Discount Vouchers,16.46,19.11
8,28,33,Deal Hunter,15,332.7,194.8,Groceries,12.78,16.24
9,41,43,Wellness Focused,13,182.3,153.3,Discount Vouchers,9.86,10.89
10,53,15,Tech Enthusiast,17,285.1,145.6,Discount Vouchers,12.81,14.91
11,41,12,Convenience Seeker,21,200.6,138.9,Food Delivery,13.9,16.5
12,20,40,Deal Hunter,16,301.1,244.4,Discount Vouchers,13.45,16.41
13,39,20,Wellness Focused,14,228.8,121.8,Discount Vouchers,10.51,11.79
14,19,30,Wellness Focused,22,162.0,147.2,Groceries,14.09,15.36
15,41,38,Tech Enthusiast,13,360.1,315.7,Electronics,13.26,15.23
16,47,3,Wellness Focused,9,236.7,127.4,Fitness,8.14,9.08
17,19,28,Deal Hunter,16,401.1,378.7,Electronics,15.8,19.64
18,38,26,Tech Enthusiast,15,318.0,244.3,Electronics,13.12,14.59
19,50,30,Deal Hunter,21,325.8,181.6,Electronics,15.57,19.47
20,29,13,Deal Hunter,16,159.8,123.8,Groceries,10.84,13.19
21,39,13,Convenience Seeker,24,241.3,185.0,Food Delivery,16.26,19.56
22,42,2,Convenience Seeker,29,373.1,273.6,Groceries,20.97,26.22
23,44,37,Deal Hunter,14,325.5,257.6,Discount Vouchers,12.83,16.39
24,45,38,Wellness Focused,10,97.1,53.2,Fitness,6.5,7.05
25,33,2,Convenience Seeker,30,178.6,167.6,Food Delivery,18.46,22.3
26,32,36,Convenience Seeker,20,204.0,177.9,Groceries,13.82,16.36
27,20,26,Tech Enthusiast,16,369.7,299.5,Discount Vouchers,14.69,16.72
28,54,11,Convenience Seeker,25,146.4,60.7,Food Delivery,14.57,17.08
29,24,8,Deal Hunter,22,339.8,246.2,Streaming,16.86,20.57
30,38,44,Deal Hunter,21,352.6,278.1,Discount Vouchers,16.81,21.79
31,26,40,Tech Enthusiast,17,389.0,338.3,Streaming,15.77,17.88
32,35,43,Deal Hunter,19,442.7,407.5,Groceries,18.0,22.08
33,21,22,Convenience Seeker,23,234.2,211.7,Discount Vouchers,15.96,18.13
34,42,20,Convenience Seeker,18,332.2,207.0,Food Delivery,14.39,17.34
35,31,8,Convenience Seeker,27,176.7,157.8,Food Delivery,16.84,21.31
36,26,29,Deal Hunter,16,338.0,135.3,Groceries,12.73,15.57
37,43,40,Convenience Seeker,25,287.0,170.3,Food Delivery,17.07,20.29
38,19,26,Convenience Seeker,11,217.4,100.6,Streaming,8.68,10.43
39,37,30,Tech Enthusiast,17,420.0,372.0,Electronics,16.42,18.24
40,45,17,Deal Hunter,14,276.8,252.0,Groceries,12.29,16.05
41,24,20,Convenience Seeker,31,241.3,130.5,Discount Vouchers,19.22,23.63
42,25,16,Convenience Seeker,23,243.0,146.3,Discount Vouchers,15.39,18.79
43,52,46,Convenience Seeker,26,175.7,165.3,Groceries,16.41,20.73
44,31,43,Wellness Focused,15,211.4,150.4,Groceries,11.12,12.8
45,34,7,Deal Hunter,17,355.5,239.4,Discount Vouchers,14.45,17.95
46,53,16,Deal Hunter,32,297.6,201.0,Electronics,20.99,25.85
47,21,45,Wellness Focused,16,194.5,152.3,Fitness,11.47,12.52
48,19,47,Convenience Seeker,23,204.8,189.5,Discount Vouchers,15.44,18.28
49,23,27,Convenience Seeker,24,184.9,111.2,Streaming,14.96,17.85
50,21,23,Deal Hunter,16,296.0,146.5,Discount Vouchers,12.42,15.21
51,46,24,Deal Hunter,15,361.5,181.4,Groceries,12.93,15.6
52,35,9,Deal Hunter,17,315.5,129.7,Discount Vouchers,12.95,15.12
53,43,35,Deal Hunter,14,293.7,207.2,Streaming,12.01,15.27
54,51,20,Convenience Seeker,22,280.1,255.2,Groceries,16.35,18.31
55,27,37,Tech Enthusiast,11,355.0,281.3,Electronics,11.86,13.53
56,53,42,Deal Hunter,22,246.4,233.1,Discount Vouchers,15.8,20.05
57,31,17,Deal Hunter,16,298.8,269.0,Electronics,13.68,17.14
58,48,47,Deal Hunter,20,269.0,180.4,Discount Vouchers,14.49,17.9
59,32,31,Convenience Seeker,16,188.6,125.9,Food Delivery,11.14,13.44
60,25,8,Deal Hunter,19,374.2,279.0,Groceries,16.03,19.67
61,31,15,Tech Enthusiast,18,542.2,250.0,Discount Vouchers,16.92,19.07
62,40,31,Wellness Focused,10,86.7,63.7,Fitness,6.5,7.09
63,38,30,Tech Enthusiast,13,385.0,252.3,Electronics,12.87,14.28
64,33,46,Tech Enthusiast,19,420.5,316.8,Food Delivery,16.87,19.67
65,35,20,Convenience Seeker,17,156.8,111.4,Food Delivery,11.18,13.71
66,41,39,Convenience Seeker,23,246.6,140.8,Discount Vouchers,15.37,18.37
67,43,12,Deal Hunter,9,311.0,228.4,Electronics,9.89,12.28
68,42,17,Convenience Seeker,26,288.8,173.7,Food Delivery,17.62,20.75
69,46,42,Tech Enthusiast,20,363.6,184.4,Streaming,15.48,17.66
70,32,30,Deal Hunter,17,286.1,220.7,Groceries,13.57,16.78
71,18,29,Tech Enthusiast,10,468.3,266.2,Streaming,12.34,13.82
72,42,19,Deal Hunter,19,345.2,306.8,Groceries,16.02,19.99
73,24,46,Tech Enthusiast,15,453.7,231.2,Food Delivery,14.35,16.25
74,26,11,Tech Enthusiast,20,304.8,222.5,Discount Vouchers,15.27,16.87
75,41,34,Wellness Focused,11,139.9,99.9,Fitness,7.9,8.9
76,18,7,Wellness Focused,13,271.0,137.9,Fitness,10.59,11.96
77,25,44,Convenience Seeker,21,255.0,163.7,Food Delivery,14.69,17.33
78,41,34,Tech Enthusiast,14,402.5,310.5,Food Delivery,14.13,17.32
79,28,20,Tech Enthusiast,16,405.1,233.0,Fitness,14.38,15.84
80,34,38,Wellness Focused,6,274.2,126.8,Fitness,7.01,7.84
81,25,24,Wellness Focused,8,135.2,99.8,Groceries,6.35,7.09
82,52,10,Wellness Focused,11,220.3,115.3,Fitness,8.86,9.94
83,52,32,Tech Enthusiast,17,425.8,329.9,Fitness,16.06,18.97
84,50,15,Convenience Seeker,19,178.0,153.4,Food Delivery,12.81,15.27
85,22,37,Tech Enthusiast,18,392.1,183.4,Streaming,14.76,16.7
86,45,20,Convenience Seeker,19,210.0,134.5,Food Delivery,12.94,15.69
87,24,3,Deal Hunter,16,243.6,157.1,Discount Vouchers,12.01,14.29
88,26,37,Convenience Seeker,24,331.8,248.1,Food Delivery,17.8,21.43
89,25,40,Convenience Seeker,20,186.8,109.1,Discount Vouchers,12.96,15.71
90,29,8,Deal Hunter,13,365.0,230.0,Groceries,12.45,15.17
91,51,40,Deal Hunter,26,268.3,109.1,Discount Vouchers,16.77,21.89
92,50,44,Convenience Seeker,20,341.4,159.6,Food Delivery,15.01,18.13
93,40,23,Deal Hunter,15,294.8,210.3,Groceries,12.55,15.28
94,41,40,Deal Hunter,8,340.1,176.4,Streaming,9.16,11.2
95,54,11,Wellness Focused,13,146.0,70.0,Streaming,8.66,9.32
96,52,46,Tech Enthusiast,20,280.0,161.9,Discount Vouchers,14.42,15.97
97,39,8,Wellness Focused,10,79.9,39.2,Fitness,6.19,6.87
98,44,29,Tech Enthusiast,10,296.1,128.2,Discount Vouchers,9.24,10.56
99,52,30,Wellness Focused,8,195.2,108.6,Groceries,7.04,7.84
100,18,10,Deal Hunter,17,318.3,156.1,Discount Vouchers,13.24,16.69
101,52,39,Wellness Focused,8,215.7,181.1,Groceries,7.97,8.87
102,54,28,Wellness Focused,13,139.2,60.5,Fitness,8.5,9.91
103,31,36,Convenience Seeker,25,129.7,105.2,Food Delivery,14.85,18.22
104,20,13,Deal Hunter,17,398.1,243.1,Discount Vouchers,14.91,18.03
